Species,Familia,Endemismo,Caliza_1,Caliza_2,Caliza_3,Caliza_4,Caliza_5,Caliza_6,Caliza_7,Caliza_8,Dolomía_1,Dolomía_2,Dolomía_3,Dolomía_4,Bosque_1,Bosque_2,Bosque_3,Bosque_4,Bosque_5,Bosque_6,Matorral_1,Matorral_2,Matorral_3,Matorral_4,Matorral_5,Matorral_6
Anagyris_foetida,Leguminosae,NO,1.6,2.2,23.95,23.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andryala_ragusina,Compositae,NO,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0
Anthyllis_cytisoides,Leguminosae,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Aphyllanthes_monspeliensis,Asparagaceae,NO,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asparagus_horridus,Asparagaceae,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,13,0
Asparagus_albus,Asparagaceae,NO,0,3.8,0,20.05,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asperula_hirsuta,Rubiaceae,SI,0,0,7.9,25.3,0,30.3,10.6,0,0,0,0,0.2,0,3.8,1.6,0,3.4,0.4,9.4,0,0,2,0.4,0
Ballota_hirsuta,Labiatae,NO,0,0,7.9,25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachypodium_retusum_retusum,Poaceae,NO,0,0,25.1,2.05,0,35.85,3,0,0,0,0,0,23.46,29.2,12,33.7,10.8,30.4,40.2,20.42,36.4,24.4,9.4,11
Calicotome_villosa,Leguminosae,NO,42,41.6,0,0,0.85,0,0,0,6.9,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerastium_gibraltaricum,Caryophyllaceae,NO,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamaerops_humilis,Arecaceae,NO,0,0,0,0,1.35,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cistus_albidus,Cistaceae,NO,0,0,0,0,1.6,0,36.2,15,35.1,26.2,3.6,22.2,29.6,30.2,16.44,13.2,18,25.6,48.4,55.34,61.4,43.8,35.8,24.42
Cistus_crispus,Cistaceae,NO,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cistus_laurifolius,Cistaceae,NO,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
