Familia	Género	Especie	Endemismo	1 (bosque 1)	2 (bosque 2)	3 (bosque 3)	4 (pinsapar 1)	5 (pinasapar 2)	6 (bosque matorral sobre calizas)	7 (matorral bajo sobre calizas)	8 (bosque 1)	9 (bosque 2)	10 (bosque 3)	11 (pinsapar 1)	12 (pinasapar 2)	13 (bosque matorral sobre calizas)	14 (matorral bajo sobre calizas)																																					
Cistaceae	Cistus	Cistus albidus	no_endémica	9	9	11	6	9	0	0	9	11	5	7	2	0	0																																					
Lamiaceae	Thymus	Thymus mastichina	endémica	2	2	4	2	1	4	5	3	1	2	4	1	2	0																																					
Fabaceae	Ulex	Ulex parviflorus	no_endémica	3	4	7	0	11	4	0	11	5	11	0	10	6	0																																					
Lamiaceae	Rosmarinus	Rosmarinus officinalis	no_endémica	3	0	0	1	0	0	0	1	2	2	4	0	0	0																																					
Asteraceae	Staehelina	Staehelina dubia	endémica	2	0	1	0	0	0	0	1	0	4	1	0	0	0																																					
Pinaceae	Pinus	Pinus halepensis	no_endémica	8	1	3	2	1	3	9	1	0	3	0	0	1	1																																					
Cupressaceae	Juniperus	Juniperus oxycedrus oxycedrus	no_endémica	9	1	2	8	0	0	0	7	6	6	1	0	2	0																																					
Lamiaceae	Phlomis	Phlomis lychnitis	no_endémica	1	1	1	0	0	6	8	1	0	0	0	0	8	2																																					
Lamiaceae	Phlomis	Phlomis purpurea	endémica	4	5	3	0	2	4	2	11	4	8	0	10	1	8																																					
Fagaceae	Quercus	Quercus coccifera	no_endémica	3	3	0	0	1	0	0	4	7	2	0	0	0	0																																					
Rhamnaceae	Rhamnus	Rhamnus lycioides oleoides	no_endémica	1	1	0	0	0	0	0	3	0	4	0	0	0	0																																					
Fagaceae	Quercus	Quercus rotundifolia	no_endémica	4	2	0	1	6	1	1	6	0	5	1	8	1	1																																					
Anacardiaceae	Pistacia	Pistacia lentiscus	no_endémica	2	0	0	0	0	0	0	1	0	5	0	0	0	0																																					
Rubiaceae	Rubia	Rubia peregrina	no_endémica	1	0	0	2	3	0	0	1	0	2	10	8	0	0																																					
Rhamnaceae	Rhamnus	Rhamnus alaternus	no_endémica	1	0	0	1	0	0	0	0	0	0	0	3	0	0																																					
Thymelaeaceae	Daphne	Daphne gnidium	no_endémica	1	0	0	4	0	0	0	0	0	1	2	1	0	0																																					
Fabaceae	Genista	Genista umbellata	endémica	0	4	1	0	0	6	9	0	0	1	0	0	3	7																																					
Poaceae	Brachypodium	Brachypodium retusum	no_endémica	0	4	0	0	0	0	0	5	0	4	6	9	6	4																																					
Oleaceae	Olea	Olea europaea	no_endémica	0	1	0	0	0	0	0	3	0	0	0	0	0	0																																					
Poaceae	Stipa	Stipa tenacissima	no_endémica	0	0	1	0	0	0	0	0	1	0	0	0	0	0																																					
Pinaceae	Pinus	Pinus pinaster	no_endémica	0	0	0	4	0	0	0	0	0	0	6	0	0	0																																					
Fabaceae	Ulex	Ulex baeticus	endémica_restringida	0	0	0	6	0	0	0	0	0	0	10	0	0	0																																					
Pinaceae	Abies	Abies pinsapo	endémica_restringida	0	0	0	4	4	0	0	0	0	0	7	6	0	0																																					
Cupressaceae	Juniperus	Juniperus phoenicea	no_endémica	0	0	0	1	0	0	0	0	0	0	0	0	0	0																																					
Rubiaceae	Putoria	Putoria calabrica	no_endémica	0	0	0	1	0	0	0	0	0	0	0	0	0	0																																					
Apiaceae	Bupleurum	Bupleurum spinosum	endémica	0	0	0	4	0	0	0	0	0	0	2	0	0	0																																					
Lamiaceae	Lavandula	Lavandula lanata	endémica_restringida	0	0	0	4	1	0	0	0	0	0	3	0	0	0																																					
Lamiaceae	Lavandula	Lavandula stoechas	no_endémica	0	0	0	0	0	0	0	1	0	0	0	0	0	0																																					
Apiaceae	Thapsia	Thapsia villosa	no_endémica	0	0	0	0	0	0	0	0	1	0	0	0	0	0																																					
Cistaceae	Fumana	Fumana thymifolia	no_endémica	0	0	0	0	0	0	0	0	2	0	0	0	0	0																																					
Cistaceae	Helianthemum	Helianthemum marifolium andalusicum	endémica_restringida	0	0	0	0	0	0	0	0	1	0	0	0	0	0																																					
Lamiaceae	Teucrium	Teucrium polium	no_endémica	0	0	0	0	0	0	0	0	0	0	2	0	0	0																																					
Fabaceae	Ononis	Ononis speciosa	endémica	0	0	0	0	0	0	0	0	0	0	5	0	0	0																																					
Lamiaceae	Phlomis	Phlomis crinita	endémica_restringida	0	0	0	0	0	0	0	0	0	0	1	0	0	0																																					
Rosaceae	Rosa	Rosa canina	no_endémica	0	0	0	0	2	0	0	0	0	0	0	4	0	0																																					
Ranunculaceae	Clematis	Clematis flammula	no_endémica	0	0	0	0	0	0	0	0	0	0	0	1	0	0																																					
Fagaceae	Quercus	Quercus faginea	endémica	0	0	0	0	3	0	0	0	0	0	0	3	0	0																																					
Smilacaceae	Smilax	Smilax aspera	no_endémica	0	0	0	0	0	0	0	0	0	0	0	1	0	0																																					
Fabaceae	Cytisus	Cytisus fontanesii	endémica	0	0	0	0	0	2	0	0	0	0	0	0	4	0																																					
Rubiaceae	Asperula	Asperula hirsuta	no_endémica	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																					
Linaceae	Linum	Linum suffruticosum	no_endémica	0	0	0	0	1	0	0	0	0	0	0	0	0	0																																					
Caprifoliaceae	Lonicera	Lonicera implexa	no_endémica	0	0	0	0	0	0	1	0	0	0	0	0	0	0																																					
Rosaceae	Crataegus	Crataegus monogyna	no_endémica	0	0	0	0	0	0	1	0	0	0	0	0	0	0																																					
Asteraceae	Ptilostemon	Ptilostemon hispanicus	endémica	0	0	0	0	9	1	1	0	0	0	0	0	0	0																																					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
