"Taxon","Genus","Hybrid.marker","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"Cistus albidus","Cistus","",NA,NA,"","","kew-2723264",TRUE,"1.1","Accepted","Cistus","","albidus","","","L.","kew-2723264","Accepted",FALSE,FALSE,TRUE,2022-05-11
"Thymus mastichina","Thymus","",NA,NA,"","","kew-205077",TRUE,"1.1","Accepted","Thymus","","mastichina","","","(L.) L.","kew-205077","Accepted",FALSE,FALSE,TRUE,2022-05-11
"Ulex parviflorus","Ulex","",NA,NA,"","","ild-8477",TRUE,"1.1","Accepted","Ulex","","parviflorus","","","Pourr.","ild-8477","Accepted",FALSE,FALSE,TRUE,2022-05-11
"Rosmarinus officinalis","Rosmarinus","",NA,NA,"","","kew-179873",TRUE,"1.1","Accepted","Rosmarinus","","officinalis","","","L.","kew-179873","Accepted",FALSE,FALSE,TRUE,2022-05-11
"Staehelina dubia","Staehelina","",NA,NA,"","","gcc-143036",TRUE,"1.1","Accepted","Staehelina","","dubia","","","L.","gcc-143036","Accepted",FALSE,FALSE,TRUE,2022-05-11
"Pinus halepensis","Pinus","",NA,NA,"","","kew-2561998",TRUE,"1.1","Accepted","Pinus","","halepensis","","","Mill.","kew-2561998","Accepted",FALSE,FALSE,TRUE,2022-05-11
"Juniperus oxycedrus","Juniperus","",NA,NA,"","","kew-2332702",TRUE,"1.1","Accepted","Juniperus","","oxycedrus","","","L.","kew-2332702","Accepted",FALSE,FALSE,TRUE,2022-05-11
"Phlomis lychnitis","Phlomis","",NA,NA,"","","kew-152303",TRUE,"1.1","Accepted","Phlomis","","lychnitis","","","L.","kew-152303","Accepted",FALSE,FALSE,FALSE,2022-05-11
"Phlomis purpurea","Phlomis","",NA,NA,"","","kew-152390",TRUE,"1.1","Accepted","Phlomis","","purpurea","","","L.","kew-152390","Accepted",FALSE,FALSE,TRUE,2022-05-11
"Quercus coccifera","Quercus","",NA,NA,"","","kew-172199",TRUE,"1.1","Accepted","Quercus","","coccifera","","","L.","kew-172199","Accepted",FALSE,FALSE,TRUE,2022-05-11
