"PD" "SR" "MPD" "MNTD"
"Caliza_1" 860.870601 10 164.069532871526 105.350642247511
"Caliza_2" 1089.744661 12 171.498748572997 122.98016290748
"Dolomia_1" 900.207581 9 177.16989623479 161.349525384
"Dolomia_2" 1120.578537 12 183.957846574098 144.603013738916
"Brezal_1" 1032.797681 11 164.333464438343 124.487716453454
"Brezal_2" 732.929611 7 168.169645437081 168.961548605837
"Brezal_3" 990.078377 13 171.675024275646 94.2084017333333
"Brezal_4" 1154.582801 12 142.07034552901 181.143437310069
"Alcornocal_1" 820.327871 8 151.730223402921 177.810130189394
"Alcornocal_2" 1026.180041 11 171.094713844375 161.292970182796
"Alcornocal_3" 1210.741941 13 170.372608584893 184.230946577491
"Alcornocal_4" 1104.820701 12 162.462407536664 57.0783532151899
"Quejigal_1" 1323.809921 12 195.073141494342 85.5800257535387
"Quejigal_2" 1230.415461 11 186.57143340543 120.019163846632
"Quejigal_3" 1116.129361 11 139.1088706605 51.1174276785714
