"ntaxa" "mntd.obs" "mntd.rand.mean" "mntd.rand.sd" "mntd.obs.rank" "mntd.obs.z" "mntd.obs.p" "runs"
"Caliza_1" 10 105.350642247511 156.218012044688 36.1274736505157 85 -1.40799686934242 0.085 999
"Caliza_2" 12 122.98016290748 149.072709928901 40.2421373376565 257 -0.648388697709775 0.257 999
"Dolomia_1" 9 161.349525384 161.359107419943 37.6961341205457 481 -0.000254191475239858 0.481 999
"Dolomia_2" 12 144.603013738916 146.87536308685 34.0651939423329 466 -0.0667058978669222 0.466 999
"Brezal_1" 11 124.487716453454 152.040199843103 44.0094915412024 241 -0.626057753106591 0.241 999
"Brezal_2" 7 168.961548605837 173.701846830961 44.8385980665373 449 -0.105719144431992 0.449 999
"Brezal_3" 13 94.2084017333333 144.818884802654 39.7402135956212 101 -1.27353324227973 0.101 999
"Brezal_4" 12 181.143437310069 150.419869345694 50.5562649404498 728 0.607710399503696 0.728 999
"Alcornocal_1" 8 177.810130189394 166.270516151265 48.0548198097172 587 0.240134373280817 0.587 999
"Alcornocal_2" 11 161.292970182796 152.496330674144 42.5756949785992 584 0.206611765540723 0.584 999
"Alcornocal_3" 13 184.230946577491 144.769205849542 43.4849516569025 825 0.907480386302431 0.825 999
"Alcornocal_4" 12 57.0783532151899 146.53413396478 40.649791156552 12 -2.20064551881889 0.012 999
"Quejigal_1" 12 85.5800257535387 147.811316713331 33.3864497012554 37 -1.86396851167594 0.037 999
"Quejigal_2" 11 120.019163846632 150.143199620485 34.886884751408 186 -0.86347737806073 0.186 999
"Quejigal_3" 11 51.1174276785714 151.406863327601 41.8191588287523 13 -2.39816960593853 0.013 999
