"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"Caliza_1" 10 164.069532871526 194.593001113774 29.2792212273911 106 -1.04249590537924 0.106 999
"Caliza_2" 12 171.498748572997 182.68970760405 28.638681218163 407 -0.390763769665306 0.407 999
"Dolomia_1" 9 177.16989623479 191.642801144201 28.0958368759384 353 -0.515126314739036 0.353 999
"Dolomia_2" 12 183.957846574098 198.751449009805 25.9109441034184 308 -0.570940309108818 0.308 999
"Brezal_1" 11 164.333464438343 174.235190069079 28.8367676472074 413 -0.343371550926724 0.413 999
"Brezal_2" 7 168.169645437081 179.397569727832 28.8465226321577 398 -0.389229732606792 0.398 999
"Brezal_3" 13 171.675024275646 185.621140803665 28.4363678902308 312 -0.490432413234096 0.312 999
"Brezal_4" 12 142.07034552901 151.740885599097 25.8418979723847 369 -0.374219419967549 0.369 999
"Alcornocal_1" 8 151.730223402921 167.836687469528 28.5578612889857 246 -0.563994057664894 0.246 999
"Alcornocal_2" 11 171.094713844375 181.240993549974 28.9430901625356 420 -0.350559655123923 0.42 999
"Alcornocal_3" 13 170.372608584893 176.081453156716 30.0346257302016 553 -0.190075435702273 0.553 999
"Alcornocal_4" 12 162.462407536664 184.522300189843 29.5355789081309 187 -0.746892171025155 0.187 999
"Quejigal_1" 12 195.073141494342 196.601541870248 26.1925693109183 610 -0.0583524417846724 0.61 999
"Quejigal_2" 11 186.57143340543 196.337581744481 25.1907840769159 421 -0.387687350629148 0.421 999
"Quejigal_3" 11 139.1088706605 174.951052665203 30.9671256077333 79 -1.15742682930029 0.079 999
