"ntaxa" "pd.obs" "pd.rand.mean" "pd.rand.sd" "pd.obs.rank" "pd.obs.z" "pd.obs.p" "runs"
"T1" 13 1573.881843 1446.4054737948 171.523279093928 721 0.743201563534693 0.721 999
"T2" 12 1292.334098 1373.79009402302 165.423732879457 356 -0.492408160577414 0.356 999
"T3" 11 1331.331412 1296.26461516617 163.232155223254 584 0.214827751222625 0.584 999
"T4" 14 1363.995128 1515.65856687588 172.896564391506 227 -0.877191744148544 0.227 999
"T5" 22 2135.293187 1994.71677834034 165.268886138989 795 0.850592098390723 0.795 999
"T6" 20 1909.694836 1885.68344818919 177.006887844726 490 0.135652279429227 0.49 999
"T7" 22 2096.30458 2003.62736218318 163.769964581419 684 0.565898747390534 0.684 999
"T8" 8 1124.226867 1058.5416607978 147.308580838305 669 0.445902104469409 0.669 999
"T9" 14 1615.198508 1514.4389447047 172.564672275301 664 0.583894501503464 0.664 999
"T10" 12 1357.321018 1374.78122422823 167.562996949342 473 -0.104200847120838 0.473 999
"T11" 20 1852.626265 1882.78541292493 173.310810581251 399 -0.174017695859694 0.399 999
"T12" 12 1126.987254 1365.64034125526 167.801784783907 71 -1.42223211488835 0.071 999
"T13" 12 1528.038432 1370.29082553554 169.149862369588 790 0.932590805896077 0.79 999
"T14" 15 1632.024843 1579.6942388959 178.12060277683 555 0.293793100226984 0.555 999
"T15" 15 1668.185088 1581.30313636336 174.208580071986 651 0.498723723026359 0.651 999
"T16" 11 1367.877088 1293.46711486186 170.644620760934 631 0.43605226350723 0.631 999
"T17" 16 1571.479935 1646.92353956857 178.294076527718 338 -0.423141396718471 0.338 999
"T18" 14 1530.20893 1510.86898713714 175.761327211534 500 0.110035257298591 0.5 999
"T19" 15 1729.048216 1584.55391605305 174.549088907122 760 0.827814690134721 0.76 999
"T20" 10 1178.257466 1218.73155073073 159.548485549096 436 -0.25367890263224 0.436 999
"T21" 14 1467.833892 1514.28808062362 172.866189560997 406 -0.268729175679735 0.406 999
"T22" 17 1685.943341 1706.0110524034 177.547390910958 421 -0.113027351742203 0.421 999
"T23" 17 1753.477108 1707.09747592993 173.383024349071 556 0.267498114329201 0.556 999
"T24" 18 1843.554976 1765.21328729429 178.987141970663 636 0.437694506114561 0.636 999
