ESPECIES,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,ENDÉMICA
Pinus halepensis,5.79999999999999,0,0,0,0.5,0,2,0,0,0,1.1,0,0,0,0.8,1.6,13.7,5.5,0.1,0,0,0,0.4,1.7,No
Quercus rotundifolia,1.75,1.85,0.600000000000003,0,8.5,3.6,1.1,0,2.5,0,0,1.6,1.4,0.7,5.6,1.8,1.8,12.4,5.3,1.1,1.7,2.6,0,1.1,No
Ulex baeticus,6.04,3.2,0.1,0.3,1.4,7,15.9,0,15.5,0,11.1,9.8,32.1,18.7,12.2,9,33.2,14.7,18.5,7.9,3.9,3.9,1.9,5.7,Sí
Rhamnus lycioides subsp. oleoides,3.25999999999999,4.34999999999999,0.9,1.25,2,1.7,0.8,0,2.5,0.5,1.4,0,0.5,1.1,0,0,0,0,2.8,0,44.1,1.3,1.3,0.8,No
Cistus albidus,3.26,14.05,11.9,10.1,6.09999999999999,7.7,19.2,4.6,36.4,12.3,21.7,34.1,2.1,27.6,13.4,24.6,26.4,32.2,15.5,26.2,19.7,0.8,11.4,13.2,No
Phlomis purpurea,3.58,5.00000000000001,2.4,3.2,2.1,3.2,3,6.4,12.8,0.6,1.2,3.8,5.4,21.8,6.5,0,10.8,8.6,8.3,10.1,1.3,2.4,2.5,2.4,No
Phlomis lychnitis,0,0,0,0.75,0.299999999999997,0.15,1.6,2.4,1.9,0.2,1.7,19.1,0,0,0,0,0,0,0.2,0.4,1.2,0,1.9,0,No
Juniperus oxycedrus subsp.oxycedrus,11.19,4,3.4,0.199999999999996,0,1.8,8.6,0.2,9.2,1.1,5.8,4.3,2.7,3.9,8.8,0,2.7,10.5,4.4,3.4,4,6.2,2.4,0.8,No
Staehelina dubia,0.13,0,0,0,0,0.1,4.7,0,4.6,0,8.6,0,6.1,0.1,0.5,4.3,0,0,1.8,0,1.1,0.2,0,0,No
Pistacia lentiscus,5.32,0,0,0,0.199999999999999,0,0.5,0,1.4,0,0,0,8.7,2.8,4.9,0,1.1,0,1.6,1.9,0,0.2,0,0,No
Salvia rosmarinus,1.42,0.65,0,17.35,2.7,4.85,27.5,0,3.1,36.6,36,21.8,2.9,0,9.3,26,11.6,11.9,20.7,7.3,0.6,6.2,18.7,1.4,No
Olea europaea var. sylvestris,1.07999999999999,3.49999999999999,0,1.55,0,0.450000000000003,0.2,0,0,0,0,0,0.7,2.3,0,0,0,0,2,0,0,0,0,0,No
Rhamnus alaternus,2,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,No
Quercus coccifera,4.30000000000001,6.75,6,0,8.7,3.45,0.7,1.8,0.8,0,4,0,0,0.1,0.3,0,0,0,5.8,0,20,5.2,4.5,1.2,No
Brachypodium retusum,0,0,0.5,8.59999999999999,14.7,10.85,7,10.1,10.9,4.9,16.5,0,0,1.4,8.5,5.9,8.5,16.2,0,0,6,14.3,8.1,0,No
Thymus mastichina subsp. mastichina,0,0.280000000000001,1.8,0.5,0.599999999999998,0.699999999999999,1.3,0,8.5,2.5,0.4,4.2,0,0.2,0.4,0,1.8,0.7,0,1.3,0,0,0,1.1,No
Thymbra capitata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.7,Sí
Genista umbellata,0,0.899999999999999,0.399999999999999,0.599999999999994,0.4,0,10.3,0,0,18.2,8.9,8.5,0,0,0,0,2.9,3.9,0,0.4,0.9,1.2,3.4,0,No
Macrochloa tenacissima,0,0,0.5,3.5,0,0,0,6.1,0,27.8,9.8,0,0,5.6,21.6,14.3,24.1,20.2,2.4,0,8.2,0,9.8,1.8,No
Jasminum fruticans,0,2.6,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,No
Fumana thymifolia,0,0,0,28.25,3.7,0,5.8,0,0,13.2,10.2,5.9,0,0,0,0,0,0,0,0,0,0,1.2,2.4,No
Helianthemum marifolium,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,Sí
Phagnalon rupestre,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0.2,0.1,0,No
Asparagus acutifolius,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Teucrium lusitanicum,0,0,0,0.199999999999996,0.2,0,2.4,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1,0.2,0.4,0,No
Anthyllis cytisoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No
Daphne gnidium,0,0,0,0,0,0.7,0.1,0,0,0,2.2,0,1.5,0,0.8,0,0.9,3.7,0,0,0,0,0,0.1,No
Lavandula stoechas,0,0,0,0,0,0,0.1,0,0,0,0,0,3.1,0.2,0,0,0.3,0,0.3,0,0,0,0,0,No
Lavandula lanata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sí
Asperula hirsuta,0,0,0,0,0.700000000000003,1.67999999999998,3.1,0,2,0,2.7,0,0,0,0,0,0,4.5,0,0,0,0,0,0,No
Cistus monspeliensis,0,0,0,0,0,0.75,0,0,0,0,0,3.1,0,0,0,0.3,1.1,0,0,0,0,0,0,0.1,No
Onobrychis humilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,No
Argyrolobium zanonii,0,0,0,0,0.2,0,0,0,0,0,1,0.7,0,0,0,0,0,0,0,0,0,0.3,0.1,0,No
Asparagus horridus,0,0,0,0,2.1,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,1.3,No
Rubus ulmifolius,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Ptilostemon hispanicus,0,0,0,0,0.3,0.599999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,Sí
Sedum sediforme,0,0,0,0,0.200000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Vinca sp.,0,0,0,0,0.400000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sí
Osyris alba,0,0,0,0,1.50000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Quercus faginea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.8,0,0,0,0,0,0,No
Helichrysum stoechas,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,No
